department,telecommuting,has_company_logo,has_questions,employment_type,industry,function,fraudulent,Country,len_profile,len_description,requirement_is_existed
Marketing,0,1,0,Other,,Marketing,0,US,885,905,True
etc,0,1,0,Full-time,Marketing and Advertising,Customer Service,0,NZ,1286,2077,True
etc,0,1,0,,,,0,US,879,355,False
Sales,0,1,0,Full-time,Computer Software,Sales,0,US,614,2600,True
etc,0,1,1,Full-time,Hospital & Health Care,Health Care Provider,0,US,1628,1520,True
etc,0,0,0,,,,0,US,0,3418,False
IT,0,1,1,Full-time,Online Media,Management,0,DE,881,433,True
etc,0,1,1,,,,0,US,1025,2488,False
etc,0,1,1,Full-time,Information Technology and Services,,0,US,1364,75,True
etc,0,1,0,Part-time,Financial Services,Customer Service,0,US,684,1219,True
etc,0,0,0,Full-time,Information Technology and Services,Information Technology,0,US,0,2878,True
etc,0,1,0,,,,0,GB,310,1159,False
etc,0,1,0,Full-time,Management Consulting,Information Technology,0,US,684,1721,True
etc,0,1,1,Full-time,Events Services,Other,0,US,352,793,True
Sales,0,1,0,Full-time,Internet,Sales,0,AU,433,986,True
Sales,0,1,1,Full-time,Facilities Services,Sales,0,SG,882,2995,True
etc,0,1,0,Full-time,Internet,Engineering,0,IL,417,314,True
etc,0,1,1,,,,0,GB,829,390,False
etc,0,1,0,,,,0,US,384,1561,False
etc,0,0,0,Full-time,,,0,US,228,1391,False
etc,0,1,0,,,Marketing,0,US,1349,1273,False
etc,0,1,0,Full-time,Consumer Electronics,Engineering,0,NZ,1309,1932,True
etc,0,1,1,Full-time,Telecommunications,Sales,0,AE,2676,1289,True
etc,0,1,0,Full-time,Internet,Sales,0,US,869,1718,True
etc,0,0,0,,,,0,GB,0,391,False
etc,0,1,1,,,,0,US,2289,4728,False
Marketing,0,1,0,Full-time,Online Media,Marketing,0,SG,549,524,True
etc,0,1,0,Full-time,Hospital & Health Care,Health Care Provider,0,AE,790,663,True
etc,0,0,0,Full-time,Management Consulting,,0,US,228,1697,False
etc,0,1,0,Full-time,Consumer Services,Administrative,0,CA,684,1218,True
etc,0,1,0,Full-time,Computer Software,Customer Service,0,US,684,1968,True
etc,0,1,0,Full-time,Computer Software,Engineering,0,US,0,386,True
etc,0,1,1,Full-time,Construction,Other,0,US,367,1189,True
etc,0,1,1,Full-time,Oil & Energy,Engineering,0,US,879,1671,True
etc,0,1,1,Full-time,Marketing and Advertising,,0,GB,522,149,False
etc,0,1,1,Contract,Education Management,,0,US,53,381,True
etc,0,1,0,Contract,Education Management,,0,US,53,332,True
etc,0,0,0,Full-time,Oil & Energy,Engineering,0,US,0,2235,True
Design,0,1,1,Full-time,Computer Software,Design,0,etc,229,1543,True
etc,0,1,0,Full-time,Financial Services,Administrative,0,US,684,1821,True
etc,0,1,1,Contract,Education Management,,0,US,53,381,True
etc,0,1,1,Contract,Education Management,,0,US,53,384,True
etc,0,0,0,Full-time,Computer Software,Engineering,0,US,0,390,True
etc,0,1,0,Full-time,Consumer Services,Customer Service,0,US,684,695,True
etc,0,1,0,Full-time,Computer Software,Customer Service,0,US,684,2631,True
etc,0,1,0,Full-time,Building Materials,Sales,0,US,702,1293,False
etc,0,0,0,Full-time,Banking,,0,etc,5574,169,True
etc,0,1,0,Full-time,Financial Services,Administrative,0,US,684,1380,True
etc,0,1,1,Contract,Education Management,,0,US,53,381,True
etc,0,1,0,Full-time,Facilities Services,Customer Service,0,US,684,1274,True
Product,0,1,0,Full-time,Food & Beverages,Production,0,US,185,762,True
etc,0,1,0,Full-time,Education Management,Administrative,0,US,684,1020,True
etc,0,1,0,Full-time,Information Technology and Services,,0,US,536,341,False
etc,0,0,0,Full-time,Financial Services,Information Technology,0,US,0,1206,True
etc,0,1,0,,,,0,US,702,647,False
etc,0,1,1,,,,0,etc,153,334,False
etc,0,1,0,,,,0,US,702,647,False
etc,0,1,1,,Hospital & Health Care,,0,CA,2480,921,True
